,month,temp,RH,wind,rain,area
0,7,8.2,51,6.7,0.0,0
1,10,18.0,33,0.9,0.0,0
2,10,14.6,33,1.3,0.0,0
3,7,8.3,97,4.0,0.2,0
4,7,11.4,99,1.8,0.0,0
5,1,22.2,29,5.4,0.0,0
6,1,24.1,27,3.1,0.0,0
7,1,8.0,86,2.2,0.0,0
8,11,13.1,63,5.4,0.0,0
9,11,22.8,40,4.0,0.0,0
10,11,17.8,51,7.2,0.0,0
11,11,19.3,38,4.0,0.0,0
12,1,17.0,72,6.7,0.0,0
13,11,21.3,42,2.2,0.0,0
14,11,26.4,21,4.5,0.0,0
15,11,22.9,44,5.4,0.0,0
16,7,15.1,27,5.4,0.0,0
17,10,16.7,47,4.9,0.0,0
18,7,15.9,35,4.0,0.0,0
19,0,9.3,44,4.5,0.0,0
20,11,18.3,40,2.7,0.0,0
21,11,19.1,38,2.7,0.0,0
22,6,21.0,44,4.5,0.0,0
23,1,19.5,43,5.8,0.0,0
24,1,23.7,32,5.8,0.0,0
25,1,16.3,60,5.4,0.0,0
26,11,19.0,34,5.8,0.0,0
27,11,19.4,48,1.3,0.0,0
28,11,30.2,24,2.7,0.0,0
29,11,22.8,39,3.6,0.0,0
30,11,25.4,24,3.6,0.0,0
31,11,11.2,78,7.6,0.0,0
32,11,20.6,37,1.8,0.0,0
33,11,17.7,39,3.6,0.0,0
34,11,21.2,32,2.7,0.0,0
35,11,18.2,62,4.5,0.0,0
36,10,21.7,24,4.5,0.0,0
37,10,11.3,60,5.4,0.0,0
38,10,17.8,27,4.0,0.0,0
39,7,14.1,43,2.7,0.0,0
40,5,23.3,37,3.1,0.0,0
41,1,18.4,42,6.7,0.0,0
42,1,16.6,54,5.4,0.0,0
43,11,19.6,48,2.7,0.0,0
44,11,12.9,74,4.9,0.0,0
45,11,25.9,24,4.0,0.0,0
46,11,14.7,70,3.6,0.0,0
47,5,23.0,36,3.1,0.0,0
48,7,11.8,35,1.8,0.0,0
49,7,11.0,46,5.8,0.0,0
50,11,20.8,17,1.3,0.0,0
51,1,21.5,34,2.2,0.0,0
52,1,20.4,42,4.9,0.0,0
53,1,20.4,42,4.9,0.0,0
54,1,17.6,45,3.6,0.0,0
55,11,27.7,24,2.2,0.0,0
56,11,17.8,63,4.9,0.0,0
57,10,13.8,50,2.7,0.0,0
58,3,13.9,40,5.4,0.0,0
59,3,12.3,51,0.9,0.0,0
60,7,11.5,39,5.8,0.0,0
61,7,5.5,59,6.3,0.0,0
62,1,18.8,35,4.9,0.0,0
63,1,20.8,33,2.7,0.0,0
64,1,23.1,31,3.1,0.0,0
65,1,18.6,44,4.5,0.0,0
66,11,23.0,37,4.5,0.0,0
67,11,19.6,33,5.4,0.0,0
68,11,19.6,33,6.3,0.0,0
69,7,17.2,26,4.5,0.0,0
70,7,15.8,27,7.6,0.0,0
71,11,17.7,37,3.6,0.0,0
72,7,15.6,25,6.3,0.0,0
73,1,17.3,43,4.5,0.0,0
74,11,27.6,30,1.3,0.0,0
75,3,6.7,79,3.1,0.0,0
76,3,15.7,43,3.1,0.0,0
77,7,8.3,72,3.1,0.0,0
78,1,14.7,66,2.7,0.0,0
79,1,21.6,19,6.7,0.0,0
80,1,19.5,39,6.3,0.0,0
81,1,17.9,44,2.2,0.0,0
82,1,18.6,51,4.5,0.0,0
83,1,16.6,47,0.9,0.0,0
84,1,20.2,45,3.6,0.0,0
85,11,21.5,15,0.9,0.0,0
86,11,25.4,27,2.2,0.0,0
87,11,22.4,34,2.2,0.0,0
88,11,25.3,36,3.6,0.0,0
89,7,17.4,25,4.9,0.0,0
90,1,14.7,59,5.8,0.0,0
91,7,17.4,24,5.4,0.0,0
92,1,20.8,32,6.3,0.0,0
93,1,18.2,43,4.9,0.0,0
94,1,23.4,22,2.7,0.0,0
95,11,17.8,64,1.3,0.0,0
96,3,12.7,48,1.8,0.0,0
97,7,17.4,24,5.4,0.0,0
98,1,11.6,87,4.5,0.0,0
99,1,19.8,39,5.4,0.0,0
100,1,19.8,39,5.4,0.0,0
101,1,14.4,66,5.4,0.0,0
102,1,20.1,40,4.0,0.0,0
103,11,24.1,29,4.5,0.0,0
104,4,5.3,78,3.1,0.0,0
105,7,12.7,52,6.3,0.0,0
106,7,18.2,29,3.1,0.0,0
107,1,21.4,33,3.1,0.0,0
108,11,20.3,45,3.1,0.0,0
109,11,17.4,56,5.4,0.0,0
110,7,13.7,43,5.8,0.0,0
111,7,18.8,18,4.5,0.0,0
112,11,22.8,39,3.6,0.0,0
113,11,18.9,35,2.7,0.0,0
114,7,15.8,27,7.6,0.0,0
115,7,15.5,27,6.3,0.0,0
116,7,11.6,30,6.3,0.0,0
117,7,15.2,27,4.9,0.0,0
118,7,10.6,30,4.0,0.0,0
119,1,19.6,36,3.1,0.0,0
120,1,10.3,74,2.2,0.0,0
121,1,17.1,43,5.4,0.0,0
122,11,22.5,42,5.4,0.0,0
123,11,17.9,45,3.1,0.0,0
124,11,19.8,50,5.4,0.0,0
125,10,20.6,24,5.4,0.0,0
126,7,9.0,49,2.2,0.0,0
127,11,17.2,43,3.1,0.0,0
128,10,15.9,46,3.6,0.0,0
129,10,15.4,35,0.9,0.0,0
130,3,15.4,40,2.7,0.0,0
131,7,14.0,39,3.1,0.0,0
132,7,10.6,46,4.9,0.0,0
133,11,17.6,42,3.1,0.0,0
134,7,14.9,38,2.7,0.0,0
135,1,17.6,52,5.8,0.0,0
136,11,17.2,58,1.3,0.0,0
137,11,15.6,66,3.1,0.0,0
138,5,18.0,42,2.7,0.0,1
139,11,21.7,38,2.2,0.0,1
140,11,21.9,39,1.8,0.0,1
